# x avgU
-1.600000000000000000e+02 1.001659434718841979e+01
-1.400000000000000000e+02 1.003184804044001055e+01
-1.200000000000000000e+02 1.003443920702116365e+01
-1.000000000000000000e+02 1.003340123275823181e+01
-8.000000000000000000e+01 1.003082907664624202e+01
-6.000000000000000000e+01 1.002754578886202808e+01
-4.000000000000000000e+01 1.002443895119156281e+01
-2.000000000000000000e+01 1.002160739582897797e+01
0.000000000000000000e+00 1.001914357578795034e+01
2.000000000000000000e+01 1.001736469467275192e+01
4.000000000000000000e+01 1.001597935202516254e+01
6.000000000000000000e+01 1.001465729478998590e+01
8.000000000000000000e+01 1.001355066522285853e+01
1.000000000000000000e+02 1.001249196580412182e+01
1.200000000000000000e+02 1.001132191669095306e+01
1.400000000000000000e+02 1.001003825610345466e+01
1.600000000000000000e+02 1.000842059935725459e+01
