# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.307507089773658482e+00 9.403868193359581074e-02 1.617812631299259396e-01
7.629394531249999133e-03 2.322743630533759784e+01 1.428761015786369493e+00 2.462695264902027947e+00
9.612434767874702621e-03 4.039763692904892345e+00 2.983771291653041779e-01 5.521628488742476026e-01
1.211090890478667623e-02 5.238860454182779236e+00 6.185256561083420923e-01 7.824306547722346128e-01
1.525878906249999827e-02 7.259561502412092082e+00 7.160936980624719173e-01 5.451931304592794181e-01
1.922486953574940524e-02 2.845202263214281491e+00 4.760420293773707789e-01 2.752580945717001404e-01
2.422181780957335245e-02 1.467886373908353193e+00 1.819565234560660272e-01 2.692111631064318389e-01
3.051757812499999653e-02 1.658082220136761098e+00 4.639619920655470020e-01 3.120513050846480119e-01
3.844973907149881048e-02 1.047696433987268527e+00 3.313154924017454039e-01 2.669740885195714397e-01
4.844363561914670491e-02 5.123864855930388984e-01 2.481214672035332303e-01 1.765210781177421751e-01
6.103515624999999306e-02 3.470318517060705377e-01 1.961090845859441711e-01 1.591546395448232010e-01
7.689947814299762097e-02 2.262515586894523756e-01 1.443241959846379152e-01 9.697827671881090184e-02
9.688727123829340981e-02 1.013832318808543936e-01 1.247386549991987975e-01 7.017043448204372813e-02
1.220703124999999861e-01 5.291198905255134477e-02 6.796095887938860547e-02 3.567413063522251876e-02
1.537989562859952419e-01 2.147337769586248404e-02 2.879646757851510655e-02 1.880739509782575203e-02
1.937745424765868196e-01 1.021474091862105936e-02 1.642998417601974903e-02 6.923816909937082452e-03
2.441406249999999722e-01 3.074616097115320627e-03 4.998708030606049089e-03 2.831763366459002628e-03
3.075979125719904839e-01 1.188861987911865202e-03 1.311739682782244072e-03 7.431943098681369816e-04
3.875490849531736393e-01 2.912099351709117475e-04 2.614792134993425081e-04 1.554234074389362604e-04
4.882812499999999445e-01 8.158962912315399784e-05 4.880533575205063074e-05 2.685943825660938656e-05
6.151958251439809677e-01 1.189429345190041704e-05 6.118052685397444926e-06 3.446998588719965884e-06
7.750981699063472785e-01 7.328635592797185014e-07 3.983223278964050749e-07 3.203174681734258923e-07
9.765624999999998890e-01 1.298580255584003777e-08 6.232691902713931300e-09 6.276312780500913477e-09
1.230391650287961935e+00 1.158319173282288898e-10 6.412547111149558951e-11 4.943256456121744774e-11
1.550196339812694557e+00 2.396205963426211537e-11 1.572067386652700210e-11 1.032324952494056315e-11
1.953124999999999778e+00 4.188563040008835459e-11 2.876689864431671602e-11 1.743784985412491179e-11
2.460783300575923871e+00 4.424950542650379045e-12 2.834052779556292176e-12 1.756983011962468083e-12
3.100392679625389114e+00 8.416523804497051955e-13 4.187132474175846863e-13 2.768893055395127392e-13
3.906249999999999556e+00 6.130663789779767744e-12 3.977237395469183866e-12 2.458570282002645959e-12
