# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.497394211099156269e+00 8.793689445800588478e-02 1.674028101140353220e-01
7.629394531249999133e-03 2.458292255364061063e+01 1.289229620056422165e+00 2.564120614187396008e+00
9.612434767874702621e-03 4.213514891405194085e+00 2.789821099201904575e-01 5.746896198115344356e-01
1.211090890478667623e-02 5.261143722683227608e+00 6.406984186548698723e-01 7.997089141089985809e-01
1.525878906249999827e-02 7.173915286148469406e+00 7.271291538319283321e-01 5.571055130161709501e-01
1.922486953574940524e-02 2.825109443310262147e+00 4.732289254858079719e-01 2.776239259389509106e-01
2.422181780957335245e-02 1.471223692126976568e+00 1.896384530753612296e-01 2.703453920749162021e-01
3.051757812499999653e-02 1.601126447877924575e+00 4.543235417067046367e-01 3.085077561572936999e-01
3.844973907149881048e-02 1.107769901809449120e+00 3.363043905115010168e-01 2.757822714194220204e-01
4.844363561914670491e-02 5.230191725884179021e-01 2.507729543503197100e-01 1.831312207431556593e-01
6.103515624999999306e-02 3.545644316691032860e-01 1.969903100996051315e-01 1.623358303124490809e-01
7.689947814299762097e-02 2.395945316888995757e-01 1.481812015071695965e-01 1.001543089728514496e-01
9.688727123829340981e-02 1.124741973561043246e-01 1.255731891676674095e-01 7.449039313765878911e-02
1.220703124999999861e-01 5.661857381570033210e-02 6.793137434509656514e-02 3.879189603738630171e-02
1.537989562859952419e-01 2.375191380077827999e-02 2.873018931313315108e-02 2.048432046853007615e-02
1.937745424765868196e-01 1.211736542548433500e-02 1.656103215613839025e-02 7.995371504704137239e-03
2.441406249999999722e-01 4.223671147233636763e-03 5.156081744190614373e-03 3.520177001391577160e-03
3.075979125719904839e-01 1.810141559109148439e-03 1.589485030015264219e-03 1.065984665069555923e-03
3.875490849531736393e-01 4.896881755544381246e-04 3.597523376617089443e-04 2.764415923029118951e-04
4.882812499999999445e-01 1.576993331235628014e-04 8.662735525545833381e-05 5.745923240221903759e-05
6.151958251439809677e-01 2.828323927255453876e-05 1.490589902369631215e-05 1.150862607103581302e-05
7.750981699063472785e-01 2.449268052258060594e-06 1.138027527146412778e-06 1.264130456070135007e-06
9.765624999999998890e-01 5.198468809693275486e-08 2.433871626919640708e-08 3.119310069977363455e-08
1.230391650287961935e+00 5.688387199818179059e-10 2.757326771142938215e-10 2.241103041104425542e-10
1.550196339812694557e+00 1.091580331745054661e-11 8.187070681987596265e-12 6.374821241517800008e-12
1.953124999999999778e+00 1.280505170914472605e-11 9.147583478121437602e-12 5.874425583500599428e-12
2.460783300575923871e+00 1.753273438670857421e-12 1.149627947181844169e-12 7.726195312485224705e-13
3.100392679625389114e+00 6.733688856057041445e-13 2.689395112608192575e-13 2.094456285745462145e-13
3.906249999999999556e+00 2.112522546832814925e-12 1.367556527987034307e-12 8.749541124238947125e-13
