# x avgU
-1.600000000000000000e+02 1.001670607365356958e+01
-1.400000000000000000e+02 1.003252111791525181e+01
-1.200000000000000000e+02 1.003540194236523142e+01
-1.000000000000000000e+02 1.003458197856537559e+01
-8.000000000000000000e+01 1.003229763573295230e+01
-6.000000000000000000e+01 1.002932394702886576e+01
-4.000000000000000000e+01 1.002650327777148220e+01
-2.000000000000000000e+01 1.002389747585427315e+01
0.000000000000000000e+00 1.002148842141185980e+01
2.000000000000000000e+01 1.001952710940783753e+01
4.000000000000000000e+01 1.001785544364140179e+01
6.000000000000000000e+01 1.001622071726038143e+01
8.000000000000000000e+01 1.001487209718511551e+01
1.000000000000000000e+02 1.001364957724722338e+01
1.200000000000000000e+02 1.001242106365336149e+01
1.400000000000000000e+02 1.001115308707183260e+01
1.600000000000000000e+02 1.000965314541977058e+01
