# f avgSuu avgSvv avgSww
6.055454452393338113e-03 7.105811466833845680e-01 4.168442549371654260e-01 1.876498201858487480e-01
7.629394531249999133e-03 5.290474482714299320e+00 4.437245966180703327e+00 2.391698419260629649e+00
9.612434767874702621e-03 1.021147042563668172e+00 7.334838382872879148e-01 6.047622335092822654e-01
1.211090890478667623e-02 1.305523550890247630e+00 1.061878359266407834e+00 5.349580913690457074e-01
1.525878906249999827e-02 1.778796743594845742e+00 1.485394720800335744e+00 4.268937038817555152e-01
1.922486953574940524e-02 7.425633469682574317e-01 3.549258413049231065e-01 1.627771996795852605e-01
2.422181780957335245e-02 3.609180466567129542e-01 2.154638949779508206e-01 1.250725355515651949e-01
3.051757812499999653e-02 3.997595992758129491e-01 2.336894822241631919e-01 1.495936150184163371e-01
3.844973907149881048e-02 2.249386041794023128e-01 1.131210793594711606e-01 8.934863655980705699e-02
4.844363561914670491e-02 1.225938382345567040e-01 1.043594386284506098e-01 6.612611404244066182e-02
6.103515624999999306e-02 8.737202422903064813e-02 7.489685793414635473e-02 4.652598235329416521e-02
7.689947814299762097e-02 4.497847189694297032e-02 4.417196208310491395e-02 2.967783046435790162e-02
9.688727123829340981e-02 2.007653445780262225e-02 3.511743242532849169e-02 1.782696961995233753e-02
1.220703124999999861e-01 1.244882243131646866e-02 2.117013981013381868e-02 1.028655842070484890e-02
1.537989562859952419e-01 4.787632826796518401e-03 1.005196056752872928e-02 4.326266886972056185e-03
1.937745424765868196e-01 2.117860520391632619e-03 5.588364896246044572e-03 2.212402075740712345e-03
2.441406249999999722e-01 6.417662355965211276e-04 2.286448457008089311e-03 8.511988018690974395e-04
3.075979125719904839e-01 2.212952809855877310e-04 7.496643144465187742e-04 3.118934131182494519e-04
3.875490849531736393e-01 5.733961814544401883e-05 2.202835047555338295e-04 8.284990854929147059e-05
4.882812499999999445e-01 1.381918508471517223e-05 4.524563572329489303e-05 1.734571047918098490e-05
6.151958251439809677e-01 2.218679905724540004e-06 5.057024417409563284e-06 2.002728449057768573e-06
7.750981699063472785e-01 4.437573412248270426e-07 6.371335033316995744e-07 2.501597221842669442e-07
9.765624999999998890e-01 8.317085581221880342e-07 7.727030472378542292e-07 2.948551924404848834e-07
1.230391650287961935e+00 1.278341203943861062e-06 1.798390278020672793e-06 6.535515607380128388e-07
1.550196339812694557e+00 9.598344877514547656e-07 3.083867164683199122e-06 1.196078181277944776e-06
1.953124999999999778e+00 9.309730710855126353e-07 3.026610659431254731e-06 1.168566075075507472e-06
2.460783300575923871e+00 1.596938667850693016e-07 5.981769952005120002e-07 2.158437790625343011e-07
3.100392679625389114e+00 2.770962992444930571e-08 4.657194031700205648e-08 1.694102917846708775e-08
3.906249999999999556e+00 1.516779315398446479e-07 5.067720069414732581e-07 1.948626709232108123e-07
