# f avgSuu avgSvv avgSww
6.055454452393338113e-03 3.567512278516058455e+00 6.974091252492718718e-02 1.912812628319145170e-01
7.629394531249999133e-03 2.523561044031431777e+01 1.169281649889649888e+00 2.805782392140786730e+00
9.612434767874702621e-03 4.140604577311926882e+00 3.072443955778766944e-01 6.895474047143286267e-01
1.211090890478667623e-02 5.049936612821653625e+00 7.020844719900419806e-01 8.547802379459554789e-01
1.525878906249999827e-02 6.744483256788684322e+00 7.521216348417729680e-01 6.016843094908708167e-01
1.922486953574940524e-02 2.784840640949326040e+00 4.808022423795503819e-01 2.911566641441500902e-01
2.422181780957335245e-02 1.295243124079269004e+00 2.341907832880828766e-01 2.659858859052646740e-01
3.051757812499999653e-02 1.367400263920690806e+00 4.186087662857074787e-01 3.010693840577497449e-01
3.844973907149881048e-02 1.172838168638163703e+00 3.345699168952352420e-01 3.140526167901881993e-01
4.844363561914670491e-02 5.214359663334643402e-01 2.624791037177967579e-01 2.069637514782025345e-01
6.103515624999999306e-02 3.696681411605527434e-01 1.952391142360042631e-01 1.745625632141518391e-01
7.689947814299762097e-02 2.457669485368505491e-01 1.663310595213280396e-01 1.286464681110840724e-01
9.688727123829340981e-02 1.312812380652387811e-01 1.203369898515280201e-01 8.171187537118168587e-02
1.220703124999999861e-01 6.504301354519065326e-02 6.785022823173014750e-02 5.071681190644350412e-02
1.537989562859952419e-01 2.772340442545739164e-02 2.689470799317161820e-02 2.305794494010350235e-02
1.937745424765868196e-01 1.500934019875667033e-02 1.505025176783602453e-02 1.113743500618490090e-02
2.441406249999999722e-01 5.784849489411120031e-03 5.243037841763997786e-03 5.323239752543835850e-03
3.075979125719904839e-01 2.092991803449266094e-03 1.712634158206906981e-03 1.986846697726343727e-03
3.875490849531736393e-01 5.668111932524356111e-04 4.610730923465639845e-04 5.436203764082267204e-04
4.882812499999999445e-01 1.654970552727194979e-04 1.245060049614410923e-04 1.256877868150241631e-04
6.151958251439809677e-01 3.628608669354836116e-05 3.458553282126807221e-05 3.297322656896332921e-05
7.750981699063472785e-01 5.419285944032978150e-06 1.102930329434585784e-05 8.832124605808980733e-06
9.765624999999998890e-01 7.729508137358870117e-07 2.606712884123548338e-06 2.138305697161436164e-06
1.230391650287961935e+00 1.025408210711962996e-07 4.144979987138983233e-07 4.440261153433892499e-07
1.550196339812694557e+00 1.216850149269331965e-08 5.432859670355287816e-08 4.866686771013322800e-08
1.953124999999999778e+00 2.777761966759838020e-09 5.411324160261830174e-09 4.715387212162458952e-09
2.460783300575923871e+00 5.250461368482621937e-10 5.801099460422631214e-10 5.271296611503229103e-10
3.100392679625389114e+00 6.305018931156481937e-11 5.685667808439415504e-11 7.440856114544985677e-11
3.906249999999999556e+00 3.115668784351212333e-11 3.159160214500046871e-11 3.073552759865669607e-11
